Postcode,Postcode
Housenr.,Housenr.
Addition,Addition
"PostcodeNL API is not enabled.","PostcodeNL API is not enabled."
"Postcode.nl API is not configured.","Postcode.nl API is not configured."
"Configure your `API key` and `API secret`.","Configure your `API key` and `API secret`."
"Cannot connect to Postcode.nl API: Server is missing SSL (https) support for CURL.","Cannot connect to Postcode.nl API: Server is missing SSL (https) support for CURL."
"Invalid postcode format, use `1234AB` format.","Invalid postcode format, use `1234AB` format."
"Zip/Postal Code + housenumber combination does not seem to exist.","Zip/Postal Code + housenumber combination does not seem to exist."
"Housenumber format is not valid.","Housenumber format is not valid."
"Incorrect address.","Incorrect address."
"Validation error, please use manual input.","Validation error, please use manual input."
"Unknown postcode + housenumber combination.","Unknown postcode + housenumber combination."
"Enter your zip code and house number and your address will be completed automatically.","Enter your zip code and house number and your address will be completed automatically."
Housenumber and addition,Housenumber and addition
"If you think it is correct you can ignore this notice.","If you think it is correct you can ignore this notice."
loading...,loading...
"Provided Zip/Postal Code seems to be invalid.","Provided Zip/Postal Code seems to be invalid."
" Example: "," Example: "
"Provided Zip/Postal Code seems to be invalid. ","Provided Zip/Postal Code seems to be invalid. "
"This is required value","This is required value"
"Hoofdfabriek Extensions","Hoofdfabriek Extensions"
Postcode.nl,Postcode.nl
General,General
Enabled,Enabled
"Api key","Api key"
"Api secret","Api secret"
"Advanced Configuration","Advanced Configuration"
"Use street 2 for housenumber","Use street 2 for housenumber"
"Use street 3 for housenumber addition","Use street 3 for housenumber addition"
"We cannot find a validated adres of the combination from your zipcode and housenumber.","We cannot find a validated adres of the combination from your zipcode and housenumber."
"Are the details correct? Then you can fill in the streetname and city manually below","Are the details correct? Then you can fill in the streetname and city manually below"
"Not your address?","Not your address?"
"Change","Change"
