Your shopping cart is ready for checkout.,Uw winkelwagen is klaar om af te rekenen
Share Via Email,Delen via e-mail
Get Link To Share,Link om te delen
Share Via SMS,Delen via SMS
Recipient Email Change,E-mailadres ontvanger
Your Name,Uw naam
Your Email,Uw e-mail
Message (optional),Bericht (optioneel)
Recipient Email,E-mailadres ontvanger
Recipient Number (including country code),Telefoonnummer ontvanger (inclusief landcode)
Email has been sent successfully.,Succesvol verzonden.
Share,Delen
Enter Email Address,E-mailadres
Enter Your Name,Uw naam
Enter Your Email,Uw e-mail
Enter Mobile Number,Telefoonnummer
Or,Of
Link to share: %1$s,Link om te delen: %1$s
Your Name and Email are required. Please retry.,Uw naam en e-mailadres zijn verplicht. Probeer het opnieuw.
"Sorry, this action is not allowed.",Dit is niet mogelijk
"Sorry, the link has been expired",De link is verlopen
Recipient Email is required. Please retry.,E-mailadres ontvanger verplicht. Probeer het opnieuw.
Recipient Number is required. Please retry.,Telefoonnummer ontvanger verplicht. Probeer het opnieuw.
Share shopping cart,Winkelwagen delen
Enter Each Email Address In Each Line,Vul per regel een e-mailadres in
Get link,Link genereren
Recipient Email(s),Emailadres ontvanger (meerdere mogelijk)
Choose Sharing Option,Kies deel opties
