Shipping Address,Bestelgegevens
Order Summary,Uw bestelling
Create New Account,Account aanmaken
Search Tips,Zoek tips
Double check your spelling.,Controleer de spelling.
Try using single words.,Probeer aparte woorden te gebruiken.
Try searching for an item that is less specific.,Zoek voor een product wat minder specifiek is.
You can always narrow your search results later,Je kunt altijd je zoekresultaat specifieker maken.
Shared Via,Gedeeld Via
Recipient,Ontvanger
Shared ON,Gedeeld op
Clicks,Geopend
Action,Actie
Available,Beschikbaar
Popular Suggestions,Populaire suggesties
View all %1 results →,Laat alle %1 resultaten zien →
View all %d results →,Laat alle %d resultaten zien →
"Sorry, nothing has been found for ""%1"".","Sorry, Maar we hebben niks gevonden voor ""%1""."
"Sorry, nothing has been found for %s"".""","Sorry, Maar we hebben niks gevonden voor %s""."""
Show Password,Laat wachtwoord zien
