,800,825,850,875,900,925,950
850,370.5,377.43,384.34,391.27,398.2,405.12,412.04
1100,421.13,428.57,436.01,443.45,450.89,458.32,465.76
1350,471.76,479.72,487.66,495.63,503.57,511.54,519.48
1600,522.39,530.86,539.33,547.8,556.27,564.74,573.21
1850,573.01,582.01,590.98,599.99,608.96,617.96,626.95
2100,623.63,633.13,642.65,652.16,661.66,671.16,680.67
2350,674.27,684.29,694.3,704.34,714.34,724.37,734.39
2600,724.88,735.42,745.97,756.51,767.03,777.59,788.12
2850,775.5,786.58,797.62,808.69,819.73,830.8,841.84
3100,826.13,837.71,849.28,860.85,872.43,884,895.57
