,800,825,850,875,900,925,950
850,"223.41","227.91","232.42","236.92","241.42","245.93","250.43"
1100,"258.06","263.08","268.1","273.12","278.14","283.15","288.17"
1350,"292.71","298.24","303.78","309.31","314.85","320.38","325.92"
1600,"327.36","333.41","339.46","345.51","351.56","357.61","363.66"
1850,"362.01","368.58","375.14","381.71","388.27","394.84","401.4"
2100,"396.66","403.74","410.82","417.9","424.99","432.07","439.15"
2350,"431.31","438.91","446.5","454.1","461.7","469.29","476.89"
2600,"465.96","474.07","482.19","490.3","498.41","506.52","514.64"
2850,"500.61","509.24","517.87","526.49","535.12","543.75","552.38"
3100,"535.26","544.4","552.55","562.69","571.84","580.98","590.12"
