,800,825,850,875,900,925,950
850,"301.60","307.68","313.77","319.84","325.92","332.01","338.08"
1100,"348.38","355.16","361.94","368.71","375.49","382.25","389.03"
1350,"395.16","402.62","410.10","417.57","425.05","432.51","439.99"
1600,"441.94","450.10","458.27","466.44","474.61","482.77","490.94"
1850,"488.71","497.58","506.44","515.31","524.16","533.03","541.89"
2100,"535.49","545.05","554.61","564.17","573.74","583.29","592.85"
2350,"582.27","592.53","602.78","613.04","623.30","633.54","643.80"
2600,"629.05","639.99","650.96","661.91","672.85","683.80","694.76"
2850,"675.82","687.47","699.12","710.76","722.41","734.06","745.71"
3100,"722.60","734.94","745.94","759.63","771.98","784.32","796.66"
