,800,825,850,875,900,925,950
850,413.6,422.22,430.83,439.47,448.09,456.71,465.34
1100,481.35,491.09,500.85,510.62,520.38,530.13,539.88
1350,549.09,559.99,570.88,581.78,592.66,603.55,614.44
1600,616.85,628.89,640.9,652.93,664.94,676.97,689
1850,684.61,697.76,710.93,724.08,737.24,750.4,763.54
2100,752.37,766.66,780.94,795.24,809.53,823.81,838.1
2350,820.11,835.55,850.97,866.39,881.81,897.24,912.66
2600,887.86,904.42,920.99,937.54,954.1,970.65,987.22
2850,955.63,973.33,991,1008.7,1026.38,1044.08,1061.76
3100,1023.39,1042.2,1061.04,1079.85,1098.68,1117.49,1136.32
