,800,825,850,875,900,925,950
850,"296.06","302.23","308.4","314.58","320.75","326.92","333.1"
1100,"344.56","351.53","358.52","365.51","372.5","379.48","386.46"
1350,"393.05","400.85","408.65","416.45","424.24","432.03","439.83"
1600,"441.55","450.17","458.77","467.38","475.98","484.59","493.2"
1850,"490.06","499.47","508.9","518.31","527.73","537.15","546.56"
2100,"538.56","548.79","559.01","569.25","579.48","589.7","599.93"
2350,"587.05","598.1","609.14","620.18","631.22","642.26","653.3"
2600,"635.55","647.4","659.26","671.11","682.96","694.81","706.67"
2850,"684.06","696.73","709.38","722.05","734.7","747.37","760.03"
3100,"732.56","746.03","759.51","772.98","786.46","799.92","813.4"
