,800,825,850,875,900,925,950
850,"375.9962","383.8321","391.668","399.5166","407.3525","415.1884","423.037"
1100,"437.5912","446.4431","455.3204","464.1977","473.075","481.9396","490.8042"
1350,"499.1735","509.0795","518.9855","528.8915","538.7848","548.6781","558.5841"
1600,"560.7685","571.7159","582.6379","593.5726","604.4946","615.4293","626.364"
1850,"622.3762","634.3269","646.303","658.2537","670.2171","682.1805","694.1312"
2100,"683.9712","696.9633","709.9427","722.9475","735.9396","748.919","761.9111"
2350,"745.5535","759.587","773.6078","787.6286","801.6494","815.6702","829.691"
2600,"807.1485","822.198","837.2602","852.3097","867.3592","882.4087","897.4709"
2850,"868.7562","884.8471","900.9126","917.0035","933.069","949.1599","965.2381"
3100,"930.3512","947.4581","964.5777","981.6846","998.8042","1015.8984","1033.018"
