,800,825,850,875,900,925,950
850,"325.666","332.453","339.24","346.038","352.825","359.612","366.41"
1100,"379.016","386.683","394.372","402.061","409.75","417.428","425.106"
1350,"432.355","440.935","449.515","458.095","466.664","475.233","483.813"
1600,"485.705","495.187","504.647","514.118","523.578","533.049","542.52"
1850,"539.066","549.417","559.79","570.141","580.503","590.865","601.216"
2100,"592.416","603.669","614.911","626.175","637.428","648.67","659.923"
2350,"645.755","657.91","670.054","682.198","694.342","706.486","718.63"
2600,"699.105","712.14","725.186","738.221","751.256","764.291","777.337"
2850,"752.466","766.403","780.318","794.255","808.17","822.107","836.033"
3100,"805.816","820.633","835.461","850.278","865.106","879.912","894.74"
