,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850
850,520.58,536.38,552.18,567.98,583.77,599.57,615.37,631.17,646.96,662.76,678.56,694.36,710.16,725.95
1100,573.55,590.28,607.01,623.73,640.46,657.19,673.91,690.64,707.37,724.09,740.82,757.55,774.28,791
1350,626.52,644.18,661.83,679.49,697.15,714.8,732.46,750.11,767.77,785.43,803.08,820.74,838.4,856.05
1600,679.49,698.08,716.66,735.25,753.83,772.42,791,809.59,828.17,846.76,865.35,883.93,902.52,921.1
1850,732.46,751.97,771.49,791,810.52,830.03,849.55,869.06,888.58,908.09,927.61,947.12,966.64,986.15
2100,785.43,805.87,826.32,846.76,867.2,887.65,908.09,928.54,948.98,969.42,989.87,1010.31,1030.76,1051.2
2350,838.4,859.77,881.14,902.52,923.89,945.26,966.64,988.01,1009.38,1030.76,1052.13,1073.5,1094.88,1116.25
2600,891.37,913.67,935.97,958.27,980.58,1002.88,1025.18,1047.48,1069.79,1092.09,1114.39,1136.7,1159,1181.3
2850,944.33,967.57,990.8,1014.03,1037.26,1060.49,1083.73,1106.96,1130.19,1153.42,1176.65,1199.89,1223.12,1246.35
3100,997.3,1021.46,1045.63,1069.79,1093.95,1118.11,1142.27,1166.43,1190.59,1214.75,1238.92,1263.08,1287.24,1311.4
