,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850
850,619.03,635.05,658.18,677.77,697.35,716.92,736.5,756.07,775.65,795.24,814.8,834.39,853.97,873.54
1100,695.48,716.9,738.32,759.72,781.14,802.56,823.98,845.38,866.8,888.22,909.64,931.04,952.46,973.88
1350,771.93,795.18,818.44,841.69,864.95,888.18,911.44,934.69,957.95,981.2,1004.46,1027.72,1050.97,1074.21
1600,848.37,873.47,898.56,923.65,948.74,973.83,998.92,1024.01,1049.1,1074.19,1099.28,1124.37,1149.46,1174.55
1850,924.82,951.75,9786.74,1005.6,1032.54,1059.47,1086.4,1113.32,1140.25,1167.17,1194.1,1221.03,1247.97,1274.9
2100,1001.27,1030.03,1058.81,1087.57,1116.33,1145.1,1173.87,1202.64,1231.4,1260.16,1288.94,1317.7,1346.46,1375.22
2350,1077.72,1108.31,1138.93,1169.53,1200.14,1230.74,1261.34,1291.95,1322.55,1353.14,1383.76,1414.36,1444.97,1475.57
2600,1154.17,1186.62,1219.05,1251.5,1283.93,1316.38,1348.81,1381.26,1413.7,1446.15,1478.58,1511.03,1543.46,1575.91
2850,1230.61,1264.9,1299.17,1333.45,1367.74,1402.01,1436.29,1470.56,1504.85,1539.13,1573.4,1607.68,1641.97,1676.24
3100,1307.06,1343.18,1379.3,1415.41,1451.53,1487.65,1523.77,1559.87,1595.99,1632.12,1668.24,1704.34,1740.46,1776.58
