,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850
850,"340.23","351.2","362.17","373.13","384.11","395.08","406.04","417.01","427.97","438.94","449.91","460.87","471.85","482.82"
1100,"385.77","397.95","410.12","422.28","434.45","446.62","458.79","470.96","483.13","495.3","507.47","519.63","531.81","543.98"
1350,"431.31","444.68","458.06","471.43","484.8","498.17","511.54","524.92","538.28","551.65","565.03","578.39","591.77","605.14"
1600,"476.85","491.43","506","520.57","535.15","549.72","564.29","578.86","593.44","608.01","622.58","637.16","651.73","666.3"
1850,"522.39","538.17","553.94","569.72","585.5","601.27","617.04","632.81","648.59","664.37","680.14","695.92","711.69","727.46"
2100,"567.93","584.91","601.89","618.87","635.84","652.81","669.8","686.77","703.74","720.72","737.7","754.68","771.65","788.62"
2350,"613.47","631.65","649.83","668.01","686.19","704.36","722.54","740.72","758.9","777.08","795.26","813.44","831.62","849.95"
2600,"659.01","678.4","697.77","717.16","736.53","755.92","775.29","794.68","814.05","833.44","852.81","872.2","891.57","910.96"
2850,"704.55","725.13","745.72","766.3","786.89","807.47","828.05","848.63","869.21","889.79","910.37","930.95","951.54","972.12"
3100,"750.09","771.88","793.67","815.44","837.23","859.01","880.8","902.58","924.36","946.15","967.93","989.71","1011.49","1033.28"
