,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850
850,642.75,663.46,684.18,704.9,725.63,746.35,767.07,787.78,808.5,829.22,849.93,870.65,891.39,912.1
1100,728.78,751.77,774.77,797.74,820.74,843.73,866.72,889.7,912.69,935.69,958.68,981.66,1004.65,1027.64
1350,814.81,840.06,865.33,890.59,915.86,941.11,966.36,991.63,1016.89,1042.14,1067.41,1092.66,1117.93,1143.19
1600,900.84,928.37,955.96,983.43,1010.96,1038.49,1066.02,1093.55,1121.08,1148.61,1176.14,1203.67,1231.2,1258.73
1850,986.87,1016.68,1046.47,1076.27,1106.08,1135.87,1165.68,1195.47,1225.27,1255.08,1284.87,1314.68,1344.48,1374.27
2100,1072.9,1104.97,1137.05,1169.12,1201.18,1233.25,1265.33,1297.4,1329.47,1361.53,1393.62,1425.68,1457.75,1489.81
2350,1158.93,1193.28,1227.62,1261.96,1296.3,1330.63,1364.97,1399.32,1433.66,1468,1502.34,1536.69,1571.03,1605.67
2600,1244.96,1281.58,1318.19,1354.81,1391.41,1428.03,1464.63,1501.25,1537.85,1574.47,1611.07,1647.69,1684.3,1720.92
2850,1331,1369.87,1408.75,1447.63,1486.53,1525.41,1564.29,1603.17,1642.05,1680.92,1719.8,1758.68,1797.58,1836.46
3100,1417.03,1458.18,1499.34,1540.48,1581.63,1622.79,1663.94,1705.08,1746.24,1787.39,1828.55,1869.69,1910.84,1952
