,200,300,400,500,600,700,800,900
200,"102.53","102.54","102.55","102.56","102.57","102.58","102.59","102.60"
300,"102.54","102.55","102.56","102.57","102.58","102.59","102.60","110.80"
400,"102.55","102.56","102.57","102.58","102.59","114.90","131.32","147.73"
500,"102.56","102.57","102.58","102.59","123.11","143.63","164.15","184.67"
600,"102.57","102.58","102.58","123.11","147.73","172.36","196.98","221.60"
700,"102.58","102.59","114.90","143.63","172.36","201.08","229.81","258.53"
800,"102.59","102.60","131.32","164.15","196.98","229.81","262.64","296.14"
900,"102.60","110.80","147.73","184.67","221.60","258.53","295.47","332.40"
1000,"102.61","123.11","164.15","205.19","246.22","287.26","328.30","369.33"
1100,"102.62","135.42","180.56","225.70","270.84","315.98","361.13","406.27"
1200,"102.63","147.73","196.98","246.22","295.47","413.65","393.96","443.20"
1300,"106.70","160.04","213..39","266.74","320.09","373.44","426.78","480.13"
1400,"114.90","172.36","229.81","287.26","344.71","402.16","459.61","517.07"
1500,"123.11","184.67","246.22","307.77","369.33","430.89","492.44","554.00"
1600,"131.32","196.98","262.64","328.30","393.96","459.61","525.27","590.93"
1700,"139.53","209.29","279.05","348.81","418.58","488.34","5587.90","627.87"
1800,"147.73","221.16","295.47","369.33","443.20","517.07","590.93","664.80"
1900,"155.94","233.91","311.88","389.85","467.82","545.79","623.76","701.73"
2000,"164.15","246.22","328.30","410.37","492.44","574.52","656.59","738.67"
2100,"172.36","258.53","344.71","430.89","517.07","603.24","689.42","775.60"
2200,"180.56","270.84","361.13","451.51","541.69","631.97","722.25","812.53"
2300,"188.77","283.16","377.54","471.93","566.31","660.73","755.09","0"
2400,"196.98","295.47","393.96","492.44","590.93","689.42","689.42","0"
2500,"205.19","307.78","410.37","512.96","615.56","718.15","820.74","0"
