,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700
200,"131.274","131.2857","131.2974","131.3091","131.3208","131.3325","131.3442","131.3559","131.3676","131.3793","131.391","131.4027","131.4144","131.4261","131.4378","131.4495","131.4612","131.4729","131.4846","131.4963","131.508","131.5197","131.5314","131.5431","136.6443","141.8976"
300,"131.2857","131.2974","131.3091","131.3208","131.3325","131.3442","131.3559","131.3676","131.3793","131.391","131.4027","131.4144","131.4261","131.4378","131.4495","134.0235","141.8976","149.7834","157.6692","165.555","173.4408","181.3149","189.2007","197.0865","204.9723","212.8581"
400,"131.2974","131.3091","131.3208","131.3325","131.3442","131.3559","131.3676","131.3793","131.391","131.4027","131.4144","136.6326","147.1626","157.6692","168.1758","178.6941","189.2007","199.719","210.2256","220.7322","231.2505","241.7571","252.2754","262.782","273.2886","283.8069"
500,"131.3091","131.3208","131.3325","131.3442","131.3559","131.3676","131.3793","131.391","131.4027","144.5301","157.6692","170.8083","184.2984","197.0865","210.2256","223.3647","236.5038","249.6429","262.782","275.9211","289.0602","302.9013","315.3384","328.4775","341.6166","354.7557"
600,"131.3208","131.3325","131.3442","131.3559","131.3676","131.3793","131.391","141.8976","157.6692","173.4408","189.2007","204.9723","220.7322","236.5038","252.2754","268.0353","283.8069","299.5668","315.3384","331.11","346.8699","362.6415","315.3384","394.173","409.9446","425.7045"
700,"131.3325","131.3442","131.3559","131.3676","131.3793","131.391","147.1626","165.555","183.9474","202.3398","220.7322","239.1363","257.5287","275.9211","294.3135","312.7059","331.11","349.5024","367.8948","386.2872","404.6796","423.0837","441.4761","459.8685","478.2609","496.6533"
800,"131.3442","131.3559","131.3676","131.3793","131.391","147.1626","168.1758","189.2007","210.2256","231.2505","252.2754","273.2652","294.3135","315.3384","336.3633","357.3882","378.4014","399.4263","420.4512","441.4761","462.501","483.5142","504.5391","525.564","546.5889","567.6255"
900,"131.3559","131.3676","131.3793","131.391","141.8976","165.555","189.2007","212.8581","236.5038","260.1495","283.8069","307.4526","331.11","354.7557","378.4014","402.0588","425.7045","449.3736","473.0193","496.6533","520.3107","543.9564","567.6138","591.2595","614.9052","638.5626"
1000,"131.3676","131.3793","131.391","131.391","157.6692","183.9474","210.2256","236.5038","262.782","289.0602","315.3384","341.6166","367.8948","394.173","420.4512","446.7294","473.0076","499.2858","525.564","551.8422","578.1204","604.3986","630.6768","656.955","683.2332","709.5114"
1100,"131.3793","131.391","131.4027","144.5301","173.4408","202.3398","231.2505","260.1495","289.0602","317.9709","346.8699","375.7806","404.6796","433.5903","462.501","491.4","520.3107","549.2097","578.1204","607.0311","635.9301","664.8408","693.7398","722.6505","751.5612","780.4602"
1200,"131.391","131.4027","131.4144","157.6692","189.2007","220.7322","252.2754","283.8069","315.3384","346.8699","378.4014","409.9446","441.4761","473.0076","504.5391","446.7294","567.6138","599.1453","630.6768","607.0311","693.7398","725.283","756.8145","788.346","819.8775","851.409"
1300,"131.4027","131.4144","136.6326","170.8083","204.9723","239.1363","273.2652","307.4526","341.6166","375.7806","409.9446","444.0969","478.2609","512.4249","546.5889","580.7529","614.9052","649.0692","683.2332","717.3972","751.5612","785.7135","819.8775","854.0415","888.2055","922.3695"
1400,"131.4144","131.4261","147.1626","184.2984","220.7322","257.5287","294.3135","331.11","367.8948","404.6796","441.4761","478.2609","515.0574","551.8422","588.627","625.4235","662.2083","699.0048","735.7896","772.5744","809.3709","846.1557","882.9522","919.737","956.5218","993.3183"
1500,"131.4261","131.4378","157.6692","197.0865","236.5038","275.9211","315.3384","354.7557","394.173","433.5903","473.0076","512.4249","551.8422","591.2595","630.6768","670.0941","709.5114","748.9287","788.346","827.7633","827.7633","906.5979","946.0152","985.4325","1024.8498","1064.2671"
1600,"131.4378","131.4495","168.1758","210.2256","252.2754","294.3135","336.3633","378.4014","420.4512","462.501","504.5391","546.5889","588.627","630.6768","672.7266","714.7647","756.8145","798.8526","840.9024","882.9522","924.9903","966.8061","1009.0782","1051.128","1093.1778","1135.2159"
1700,"131.4495","134.0235","178.6941","223.3647","268.0353","312.7059","357.3882","402.0588","446.7294","491.4","446.7294","580.7529","625.4235","670.0941","714.7647","759.4353","804.1176","848.7882","893.4588","938.1294","982.8","1027.4823","1072.1529","1116.8235","1161.4941","0"
1800,"131.4612","141.8976","189.2007","236.5038","283.8069","331.11","378.4014","425.7045","473.0076","520.3107","567.6138","614.9052","662.2083","709.5114","756.8145","804.1176","851.409","898.7121","946.0152","993.3183","1098.4311","1087.9128","1135.2159","0","0","0"
1900,"131.4729","149.7834","199.719","249.6429","299.5668","349.5024","399.4263","449.3736","499.2858","549.2097","599.1453","649.0692","699.0048","748.9287","798.8526","848.7882","898.7121","948.6477","998.5716","1048.4955","1098.4311","1148.355","0","0","0","0"
2000,"131.4846","157.6692","210.2256","262.782","315.3384","367.8948","420.4512","473.0193","525.564","578.1204","630.6768","683.2332","735.7896","788.346","840.9024","893.4588","946.0152","998.5716","1051.128","1103.6844","1156.2408","0","0","0","0","0"
2100,"131.4963","165.555","220.7322","275.9211","331.11","386.2872","441.4761","496.6533","551.8422","607.0311","607.0311","717.3972","772.5744","827.7633","882.9522","938.1294","993.3183","1048.4955","1103.6844","1158.8733","0","0","0","0","0","0"
2200,"131.508","173.4408","231.2505","289.0602","346.8699","404.6796","462.501","520.3107","578.1204","635.9301","693.7398","751.5612","809.3709","867.1806","924.9903","982.8","1040.6214","1098.4311","1156.2408","0","0","0","0","0","0","0"
2300,"131.5197","181.3149","241.7571","302.9013","362.6415","423.0837","483.5142","543.9564","604.3986","664.8408","725.283","785.7135","846.1557","906.5979","966.8061","1027.4823","1087.9128","1148.355","0","0","0","0","0","0","0","0"
2400,"131.5314","189.2007","252.2754","315.3384","315.3384","441.4761","504.5391","567.6138","630.6768","693.7398","756.8145","819.8775","882.9522","946.0152","1009.0782","1072.1529","1135.2159","0","0","0","0","0","0","0","0","0"
2500,"131.5431","197.0865","262.782","328.4775","394.173","459.8685","525.564","591.2595","656.955","722.6505","788.346","854.0415","919.737","985.4325","1051.128","1116.8235","0","0","0","0","0","0","0","0","0","0"
2600,"136.6443","204.9723","273.2886","341.6166","409.9446","478.2609","546.5889","614.9052","683.2332","751.5612","819.8775","888.2055","956.5218","1024.8498","1093.1778","1161.4941","0","0","0","0","0","0","0","0","0","0"
2700,"141.8976","212.8581","283.8069","354.7557","425.7045","496.6533","567.6255","638.5626","709.5114","780.4602","851.409","922.3695","993.3183","1064.2671","1135.2159","0","0","0","0","0","0","0","0","0","0","0"
