,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,,,,,,,,,,,,
200,"191.33","191.34","191.35","191.36","191.37","191.38","191.39","191.40","191.41","191.42","191.43","191.44","191.45","191.46","191.47","191.48","191.49","191.50","191.51","191.52","191.53","191.54","191.55",,,,,,,,,,,,
300,"191.34","191.35","191.36","191.37","191.38","191.39","191.40","191.41","191.42","191.43","191.44","191.45","191.46","191.47","191.48","195.15","206.63","218.11","229.59","241.07","252.55","264.03","275.51",,,,,,,,,,,,
400,"191.35","191.36","191.37","191.38","191.39","191.40","191.41","191.42","191.43","191.44","191.45","198.98","214.28","229.59","244.90","260.20","275.51","290.81","306.12","321.43","336.73","352.04","367.34",,,,,,,,,,,,
500,"191.36","191.37","191.38","191.39","191.40","191.41","191.42","191.43","191.44","201.46","229.59","248.72","267.86","286.99","306.12","325.25","344.39","363.52","382.85","401.78","420.92","440.05","459.18",,,,,,,,,,,,
600,"191.37","191.38","191.39","191.40","191.41","191.42","191.43","206.63","229.59","252.55","275.51","297.47","32143","334.39","367.34","390.30","482.14","436.22","459.18","x","x","x","x",,,,,,,,,,,,
700,"191.38","191.39","191.40","191.41","191.42","191.43","214.28","241.07","267.86","29732","321.43","348.21","375.00","401.83","428.57","455.35","x","x","x","x","x","x","x",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"x"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"combinatie van afmetingen is niet mogelijk"
