,200,300,400,500,600,700
200,"74.26","74.27","74.28","74.29","74.30","74.31"
300,"74.27","74.28","74.29","74.30","74.31","74.32"
400,"74.28","74.29","74.30","74.31","74.32","103.97"
500,"74.29","74.30","74.31","74.32","89.12","103.97"
600,"74.30","74.31","74.32","89.12","106.94","124.76"
700,"74.31","74.32","83.17","103.97","124.76","145.55"
800,"74.32","74.33","95.06","118.82","142.58","166.35"
900,"74.33","80.20","106.94","133.67","160.41","187.14"
1000,"74.34","89.12","118.82","148.53","178.23","207.94"
1100,"74.35","98.03","130.70","163.38","196.05","228.73"
1200,"74.36","106.94","142.58","178.23","213.88","249.52"
1300,"77.23","115.85","154.47","193.08","231.70","270.32"
1400,"83.17","124.76","166.35","207.94","249.52","291.11"
1500,"89.12","133.67","178.23","222.79","267.30","311.90"
1600,"95.06","142.58","190.11","237.64","285.17","332.70"
1700,"101.00","151.50","201.99","252.49","303.45","353.49"
1800,"106.94","160.41","213.88","267.35","320.81","0"
1900,"112.88","169.32","225.76","282.20","338.64","0"
2000,"118.82","178.23","237.64","297.05","356.46","0"
2100,"124.76","187.14","249.52","311.90","0","0"
2200,"130.70","196.05","261.40","326.76","0","0"
2300,"136.64","204.96","297.29","341.61","0","0"
2400,"142.58","213.88","285.17","356.46","0","0"
