,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500
200,"157.21","157.22","157.23","157.24","157.25","157.26","157.27","157.28","157.29","157.30","157.31","157.32","157.33","157.34","157.35","157.36","157.37","157.38","157.39","157.40","157.41","157.42","157.43","157.44"
300,"157.22","157.23","157.24","157.25","157.26","157.27","157.28","157.29","157.30","157.31","157.32","157.33","157.34","157.35","157.36","160.46","169.89","179.33","188.77","198.21","207.64","217.09","226.53","226.53"
400,"157.23","157.24","157.25","157.26","157.27","157.28","157.29","157.30","157.31","157.32","157.33","163.60","176.19","188.77","201.36","213.94","226.53","239.11","251.70","264.28","276.87","289.45","302.04","302.04"
500,"157.24","157.25","157.26","157.27","157.28","157.29","157.30","157.31","157.32","173.04","188.77","204.50","220.23","235.97","251.70","267.43","283.16","298.89","314.62","330.35","346.08","361.81","377.54","393.28"
600,"157.25","157.26","157.27","157.28","157.29","157.30","157.31","169.89","188.77","207.65","266.53","245.40","264.28","283.16","302.04","320.91","339.79","358.67","377.51","396.42","415.98","434.18","453.05","471.93"
700,"157.26","157.27","157.28","157.29","157.30","157.31","176.19","198.21","220.23","242.26","264.28","286.30","308.33","330.35","352.37","374.40","396.42","418.44","440.47","462.49","484.51","506.54","528.56","550.59"
800,"157.27","157.28","157.29","157.30","157.31","176.19","201.36","226.53","251.70","276.87","302.04","327.20","352.37","377.54","402.71","427.88","452.45","478.22","503.39","528.56","553.73","578.90","604.07","629.24"
900,"157.28","157.29","157.30","157.31","169.89","198.21","226.53","254.84","283.16","311.47","339.79","368.15","396.42","424.74","453.05","481.37","509.68","538.00","566.32","594.63","622.95","651.26","679.58","707.89"
1000,"157.29","157.30","157.31","157.32","188.77","220.23","251.70","283.16","314.62","346.08","377.54","409.01","440.47","471.93","503.39","534.85","566.32","597.78","629.24","660.70","692.16","723.63","755.12","786.55"
1100,"157.30","157.31","157.32","173.04","207.65","242.26","276.87","311.47","346.08","380.69","415.30","449.91","484.51","519.12","558.65","588.34","622.95","657.56","692.16","692.16","761.38","795.99","830.60","865.28"
1200,"157.31","157.32","157.33","188.77","266.53","264.28","302.04","339.79","377.54","415.30","453.05","490.81","528.56","566.32","604.07","641.82","679.58","717.33","755.09","792.84","830.60","868.35","906.11","x"
1300,"157.32","157.33","163.60","204.50","245.40","286.30","327.20","368.15","409.01","449.91","490.81","531.71","572.61","613.51","654.41","695.31","736.21","777.11","818.01","858.91","899.81","x","x","x"
1400,"157.33","157.34","176.19","220.23","264.28","308.33","352.37","396.42","440.47","484.51","528.56","572.61","616.66","660.70","704.75","748.80","792.84","836.89","880.94","924.98","x","x","x","x"
