,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700
200,"136.05","136.04","136.03","136.02","136.01","136.00","136.01","136.02","136.03","136.04","136.05","136.06","136.07","136.08","136.09","136.10","136.11","136.12","136.13","136.14","136.15","136.16","136.17","136.18","141.49","146.93"
300,"136.06","136.03","136.02","136.01","136.00","136.01","136.02","136.03","136.04","136.05","136.06","136.07","136.08","136.09","136.10","136.11","146.93","155.10","163.26","171.42","179.59","187.75","195.91","204.08","212.24","220.40"
400,"136.07","136.02","136.01","136.00","136.01","136.02","136.03","136.04","136.05","136.06","136.07","141.49","152.38","163.26","174.14","185.03","195.91","206.10","206.80","228.56","239.45","250.33","261.22","272.10","282.98","293.87"
500,"136.08","136.01","136.00","136.01","136.02","136.03","136.04","136.05","136.06","149.66","163.26","176.87","190.47","204.08","217.68","231.29","244.89","258.50","272.10","285.71","299.31","312.92","326.52","340.13","353.73","367.34"
600,"136.09","136.00","136.01","136.02","136.03","136.04","136.05","146.93","163.26","179.59","195.91","212.24","228.56","244.89","261.22","277.54","293.87","310.19","326.52","342.85","379.17","375.50","391.82","408.15","424.48","440.80"
700,"136.10","136.01","136.02","136.03","136.04","136.05","152.38","171.42","190.47","209.52","228.56","247.61","266.66","287.71","304.75","323.80","342.85","361.89","380.94","399.99","419.03","438.08","457.13","476.18","495.22","514.27"
800,"136.11","136.02","136.03","136.04","136.05","152.38","174.14","195.91","217.68","239.45","261.22","282.98","304.75","326.52","348.29","370.06","391.82","413.59","435.36","457.13","478.90","500.66","522.43","544.20","565.97","587.74"
900,"136.12","136.03","136.04","136.05","146.93","171.42","195.91","220.40","244.89","269.38","293.87","318.36","342.82","367.34","391.82","416.31","440.80","465.29","489.78","514.27","538.76","563.25","587.73","612.23","636.71","x"
1000,"136.13","136.04","136.05","136.06","163.26","190.47","217.68","244.89","272.10","299.31","326.52","353.73","380.94","408.15","435.36","462.57","489.78","514.92","544.20","571.41","598.62","625.83","653.04","x","x","x"
1100,"136.14","136.05","136.06","149.66","179.59","209.52","239.45","269.38","299.31","329.24","362.44","389.10","419.03","448.97","478.90","508.83","538.76","568.69","598.62","628.55","658.48","x","x","x","x","x"
1200,"136.15","136.06","136.07","163.26","195.91","228.56","261.22","293.87","326.52","362.44","391.82","424.48","457.13","489.78","522.43","555.08","587.74","620.39","653.04","x","x","x","x","x","x","x"
1300,"136.16","136.07","141.49","176.87","212.24","247.61","282.98","318.36","353.73","389.10","424.48","459.85","495.22","530.60","565.97","601.34","636.71","x","x","x","x","x","x","x","x","x"
1400,"136.17","136.08","152.38","190.47","228.56","266.66","304.75","342.82","380.94","419.03","457.13","495.22","533.32","571.41","609.50","647.60","x","x","x","x","x","x","x","x","x","x"
1500,"136.18","136.09","163.26","204.08","244.89","287.71","326.52","367.34","408.15","448.97","489.78","530.60","571.41","612.23","653.04","x","x","x","x","x","x","x","x","x","x","x"
1600,"136.19","136.10","174.14","217.68","261.22","304.75","348.29","391.82","435.36","478.90","522.43","565.97","609.50","653.04","x","x","x","x","x","x","x","x","x","x","x","x"
1700,"136.20","136.11","185.03","231.29","277.54","323.80","370.06","416.31","462.57","508.83","555.08","601.34","647.60","x","x","x","x","x","x","x","x","x","x","x","x","x"
1800,"136.21","146.93","195.91","244.89","293.87","342.85","391.82","440.80","489.78","538.76","587.74","636.71","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
1900,"136.22","155.10","206.10","258.50","310.19","361.89","413.59","465.29","514.92","568.69","620.39","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2000,"136.23","163.26","206.80","272.10","326.52","380.94","435.36","489.78","544.20","598.62","653.04","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2100,"136.24","171.42","228.56","285.71","342.85","399.99","457.13","514.27","571.41","628.55","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2200,"136.25","179.59","239.45","299.31","379.17","419.03","478.90","538.76","598.62","658.48","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2300,"136.26","187.75","250.33","312.92","375.50","438.08","500.66","563.25","625.83","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2400,"136.27","195.91","261.22","326.52","391.82","457.13","522.43","587.73","653.04","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2500,"136.28","204.08","272.10","340.13","408.15","476.18","544.20","612.23","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2600,"141.49","212.24","282.98","353.73","424.48","495.22","565.97","636.71","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2700,"146.93","220.40","293.87","367.34","440.80","514.27","587.74","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
