,200,300,400,500,600,700,800
200,"191.33","191.34","191.35","191.36","191.37","191.38","191.39"
300,"191.34","191.35","191.36","191.37","191.38","191.39","191.40"
400,"191.35","191.36","191.37","191.38","191.39","191.40","191.41"
500,"191.36","191.37","191.38","191.39","191.40","191.41","191.42"
600,"191.37","191.38","191.39","191.40","191.41","191.42","191.43"
700,"191.38","191.39","191.40","191.41","191.42","191.43","214.28"
800,"191.39","191.40","191.41","191.42","191.43","214.28","244.90"
900,"191.40","191.41","191.42","191.43","206.63","241.07","275.51"
1000,"191.41","191.42","191.43","191.44","229.59","267.86","306.12"
1100,"191.42","191.43","191.44","210.46","252.55","294.64","294.65"
1200,"191.43","191.44","191.45","229.50","275.51","321.26","367.34"
1300,"191.44","191.45","198.98","248.72","298.47","438.21","397.96"
1400,"191.45","191.46","214.28","267.86","321.43","375","428.57"
1500,"191.46","191.47","229.59","286.99","344.39","401.78","459.18"
1600,"191.47","191.48","244.90","306.12","367.34","428.57","489.79"
1700,"191.48","195.15","260.20","525.25","393.34","390.30","520.40"
1800,"191.49","206.65","275.54","344.39","413.26","482.14","551.02"
1900,"191.50","218.11","290.81","363.52","436.22","508.92","581.63"
2000,"191.51","229.59","306.12","382.65","459.18","535.71","x"
2100,"191.52","241.07","321.43","401.78","482.14","562.50","x"
2200,"191.53","252.55","336.76","420.92","505.10","589.28","x"
2300,"191.54","266.75","352.04","440.05","528.06","x","x"
2400,"191.55","275.51","367.34","469.18","551.02","x","x"
