,200,300,400,500,600,700,800
200,"72.26","72.27","72.28","72.29","72.30","72.31","72.32"
300,"72.27","72.28","72.29","72.30","72.31","72.32","72.33"
400,"72.28","72.29","72.30","72.31","72.32","83.17","95.06"
500,"72.29","72.30","72.31","72.32","89.12","103.97","118.82"
600,"72.30","72.31","72.32","89.12","106.94","124.76","152.58"
700,"72.31","72.32","83.17","103.97","124.76","145.55","166.35"
800,"72.32","72.33","95.06","118.82","142.58","166.63","190.11"
900,"72.33","88.22","106.94","133.67","160.41","187.14","213.88"
1000,"72.34","89.12","118.82","148.53","178.23","207.94","237.64"
1100,"72.35","98.03","130.70","163.38","196.05","228.73","261.40"
1200,"72.36","106.94","142.58","178.23","213.88","249.52","285.17"
1300,"77.23","115.85","154.47","193.08","231.70","270.31","308.93"
1400,"83.17","124.76","166.35","207.94","249.52","291.11","332.70"
1500,"89.12","133.67","178.23","222.79","267.35","311.90","356.46"
1600,"95.06","142.58","190.11","237.64","285.17","332.70","380.22"
1700,"101.00","151.50","201.99","252.49","302.99","353.49","403.99"
1800,"106.94","160.41","213.88","267.35","320.81","374.28","427.75"
1900,"112.88","169.32","225.76","282.20","338.64","395.08","451.52"
2000,"118.82","178.23","237.64","297.05","356.46","415.87","0"
2100,"124.76","187.14","249.52","311.90","374.28","436.66","0"
2200,"130.70","196.05","261.40","326.76","392.11","457.64","0"
2300,"136.64","204.96","273.29","341.61","409.93","0","0"
2400,"142.58","213.88","285.17","356.46","427.75","0","0"
