,200,300,400,500,600,700,800
200,"145.45","145.46","145.47","145.48","145.49","145.50","145.51"
300,"145.46","145.47","145.48","145.49","145.50","145.51","145.52"
400,"145.47","145.48","145.49","145.50","145.51","145.52","145.53"
500,"145.48","145.49","145.50","145.51","145.52","145.53","145.54"
600,"145.49","145.50","145.51","145.52","145.53","145.54","152.58"
700,"145.50","145.51","145.52","145.53","145.54","145.55","166.35"
800,"145.51","145.52","145.53","145.54","142.58","166.63","190.11"
900,"145.52","145.53","145.54","145.55","160.41","187.14","213.88"
1000,"145.53","145.54","145.55","148.53","178.23","207.94","237.64"
1100,"145.54","145.55","145.56","163.38","196.05","228.73","261.40"
1200,"145.55","145.56","145.57","178.23","213.88","249.52","285.17"
1300,"145.56","145.57","154.47","193.08","231.70","270.31","308.93"
1400,"145.57","145.58","166.35","207.94","249.52","291.11","332.70"
1500,"145.58","145.59","178.23","222.79","267.35","311.90","356.46"
1600,"145.59","145.60","190.11","237.64","285.17","332.70","380.22"
1700,"145.60","151.50","201.99","252.49","302.99","353.49","403.99"
1800,"145.61","160.41","213.88","267.35","320.81","374.28","427.75"
1900,"145.62","169.32","225.76","282.20","338.64","395.08","451.52"
2000,"145.63","178.23","237.64","297.05","356.46","415.87","0"
2100,"145.64","187.14","249.52","311.90","374.28","436.66","0"
2200,"145.65","196.05","261.40","326.76","392.11","457.64","0"
2300,"145.66","204.96","273.29","341.61","409.93","0","0"
2400,"145.67","213.88","285.17","356.46","427.75","0","0"
