,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700
200,"178.40","178.41","178.42","178.43","178.44","178.45","178.46","178.47","178.48","178.49","178.50","178.51","178.52","178.53","178.54","178.55","178.56","178.57","178.58","178.59","178.60","178.61","178.62","178.63","185.64","192.78"
300,"178.41","178.42","178.43","178.44","178.45","178.46","178.47","178.48","178.49","178.50","178.51","178.52","178.53","178.54","178.55","178.56","178.57","178.58","178.59","178.60","178.61","178.62","257.04","267.75","278.46","289.17"
400,"178.42","178.43","178.44","178.45","178.46","178.47","128.96","178.49","178.50","178.51","128.100","185.64","199.92","214.20","228.48","242.76","257.04","271.32","285.60","299.88","314.16","328.44","342.72","357.00","371.28","385.56"
500,"178.43","178.44","178.45","178.46","178.47","178.48","128.97","178.50","178.51","196.35","214.20","232.05","249.90","267.75","285.60","303.45","321.30","339.15","357","374.85","392.70","410.55","428.40","446.25","464.10","481.95"
600,"178.44","178.45","178.46","178.47","178.48","178.49","178.50","192.78","214.20","235.62","257.04","278.46","299.88","321.30","341.72","364.14","385.56","406.98","428.40","449.82","471.24","492.66","514.08","535.50","556.92","578.34"
700,"178.45","178.46","178.47","178.48","178.49","178.50","199.92","224.91","249.90","274.89","499.98","324.87","349.86","374.85","399.84","424.83","449.82","474.81","499.80","524.79","549.78","574.77","599.76","624.75","649.74","674.73"
800,"178.46","178.47","178.48","178.49","178.50","199.92","228.48","257.04","285.60","314.16","342.72","371.28","399.84","428.40","456.96","485.52","514.08","542.64","571.20","599.76","628.32","656.88","685.44","714.00","742.56","771.12"
900,"178.47","178.48","178.49","178.50","192.78","224.91","257.04","289.17","321.30","353.43","385.56","417.69","449.82","481.95","514.08","546.21","578.34","610.47","642.60","674.73","706.86","738.99","771.12","803.25","835.38","x"
1000,"178.48","178.49","128.100","178.51","214.20","249.90","285.60","321.30","357","392.70","428.40","464.10","499.80","535.50","571.20","606.90","642.60","678.30","714.00","749.70","785.40","821.10","856.80","x","x","x"
1100,"178.49","178.50","128.100","196.35","235.62","274.89","314.16","353.43","392.70","431.97","471.24","510.51","549.78","589.05","628.32","667.59","706.86","746.13","785.40","824.67","863.94","x","x","x","x","x"
1200,"178.50","178.51","128.100","214.20","257.04","299.88","342.72","385.56","428.40","471.24","514.08","556.92","599.76","589.05","685.44","728.28","771.12","813.96","856.80","x","x","x","x","x","x","x"
1300,"178.51","178.52","185.64","232.05","278.46","324.87","371.28","417.69","464.10","510.51","556.92","603.33","649.74","696.15","742.56","788.97","835.38","x","x","x","x","x","x","x","x","x"
1400,"178.52","178.53","199.92","249.90","299.88","349.86","399.84","449.82","499.80","549.78","599.76","649.74","699.72","749.70","799.68","849.66","x","x","x","x","x","x","x","x","x","x"
1500,"178.53","178.54","214.20","267.75","321.30","374.85","428.40","481.95","535.50","589.05","589.05","696.15","749.70","803.25","856.80","x","x","x","x","x","x","x","x","x","x","x"
1600,"178.54","178.55","228.48","285.60","341.72","399.84","456.96","514.08","571.20","628.32","685.44","742.56","799.68","856.80","x","x","x","x","x","x","x","x","x","x","x","x"
1700,"178.55","178.56","242.76","303.45","364.14","424.83","485.52","546.21","606.90","667.59","728.28","788.97","849.66","x","x","x","x","x","x","x","x","x","x","x","x","x"
1800,"178.56","178.57","257.04","321.30","385.56","449.82","514.08","578.34","642.60","706.86","771.12","835.38","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
1900,"178.57","178.58","271.32","339.15","406.98","474.81","542.64","610.47","678.30","746.13","813.96","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2000,"178.58","178.59","285.60","357","428.40","499.80","571.20","642.60","714.00","785.40","856.80","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2100,"178.59","178.60","299.88","374.85","449.82","524.79","599.76","674.73","749.70","824.67","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2200,"178.60","178.61","314.16","392.70","471.24","549.78","628.32","706.86","785.40","863.94","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2300,"178.61","178.62","328.44","410.55","492.66","557.27","656.88","738.99","821.10","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2400,"178.62","257.04","342.72","428.40","514.08","599.76","685.44","771.12","856.80","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2500,"178.63","267.75","357.00","446.25","535.50","624.75","714.00","803.25","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2600,"185.64","278.46","371.28","464.10","556.92","649.74","742.56","835.38","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
2700,"192.78","289.17","385.56","481.95","578.34","674.73","771.12","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
