,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700
200,"157.21","157.22","157.23","157.24","157.25","157.26","157.27","157.28","157.29","157.30","157.31","157.32","157.33","157.34","157.35","157.36","157.37","157.38","157.39","157.40","157.41","157.42","157.43","157.44","163.60","169.89"
300,"157.22","157.23","157.24","157.25","157.26","157.27","157.28","157.29","157.30","157.31","157.32","157.33","157.34","157.35","157.36","160.46","169.89","179.33","188.77","198.21","207.64","217.09","226.53","235.97","245.40","254.84"
400,"157.23","157.24","157.25","157.26","157.27","157.28","157.29","157.30","157.31","157.32","157.33","163.60","176.19","188.77","201.36","213.94","226.53","239.11","251.70","264.28","276.87","289.45","302.04","314.60","327.20","339.79"
500,"157.24","157.25","157.26","157.27","157.28","157.29","157.30","157.31","157.32","173.04","188.77","204.50","220.23","235.97","251.70","267.43","283.16","298.89","314.62","330.35","346.08","361.81","377.54","393.28","408.81","424.74"
600,"157.25","157.26","157.27","157.28","157.29","157.30","157.31","169.89","188.77","207.65","266.53","245.40","264.28","283.16","302.04","320.91","339.79","358.67","377.51","396.42","415.98","434.18","453.05","471.93","490.81","509.68"
700,"157.26","157.27","157.28","157.29","157.30","157.31","176.19","198.21","220.23","242.26","264.28","286.30","308.33","330.35","352.37","374.40","396.42","418.44","440.47","462.49","484.51","506.54","528.56","550.59","572.61","594.63"
800,"157.27","157.28","157.29","157.30","157.31","176.19","201.36","226.53","251.70","276.87","302.04","327.20","352.37","377.54","402.71","427.88","452.45","478.22","503.39","528.56","553.73","578.90","604.07","629.24","654.41","679.58"
900,"157.28","157.29","157.30","157.31","169.89","198.21","226.53","254.84","283.16","311.47","339.79","368.15","396.42","424.74","453.05","481.37","509.68","538.00","566.32","594.63","622.95","651.26","679.58","707.89","736.21","764.53"
1000,"157.29","157.30","157.31","157.32","188.77","220.23","251.70","283.16","314.62","346.08","377.54","409.01","440.47","471.93","503.39","534.85","566.32","597.78","629.24","660.70","692.16","723.63","755.12","786.55","818.01","849.47"
1100,"157.30","157.31","157.32","173.04","207.65","242.26","276.87","311.47","346.08","380.69","415.30","449.91","484.51","519.12","558.65","588.34","622.95","657.56","692.16","726.77","761.38","795.99","830.60","865.28","899.81","934.42"
1200,"157.31","157.32","157.33","188.77","266.53","264.28","302.04","339.79","377.54","415.30","453.05","490.81","528.56","566.32","604.07","641.82","679.58","717.33","755.09","792.84","830.60","868.35","906.11","943.86","981.61","1019.37"
1300,"157.32","157.33","163.60","204.50","245.40","286.30","327.20","368.15","409.01","449.91","490.81","531.71","572.61","613.51","654.41","695.31","736.21","777.11","818.01","858.91","899.81","940.71","981.61","1022.52","1063.42","1104.32"
1400,"157.33","157.34","176.19","220.23","264.28","308.33","352.37","396.42","440.47","484.51","528.56","572.61","616.66","660.70","704.75","748.80","792.84","836.89","880.94","924.98","969.03","1013.08","1057.12","1101.17","1145.22","1189.26"
1500,"157.34","157.35","188.77","235.97","283.16","330.35","377.54","424.74","471.93","519.12","566.32","613.51","660.70","707.90","755.09","802.28","849.47","896.67","943.86","991.05","1038.25","1085.44","1132.63","1179.83","1227.02","1274.21"
1600,"157.35","157.36","201.36","251.70","302.04","352.37","402.71","453.05","503.39","558.65","604.07","654.41","704.75","755.09","805.43","855.77","906.11","956.44","1006.78","1057.12","1107.46","1157.80","1208.14","1258.48","1308.82","1142.74"
1700,"157.36","160.46","213.94","267.43","320.91","374.40","427.88","481.37","534.85","588.34","641.82","695.31","748.80","802.28","855.77","946.69","962.74","1016.22","1069.71","1123.19","1178.68","1230.16","1283.65","1337.14","1390.62","x"
1800,"157.37","169.89","226.53","283.16","339.79","396.42","452.45","509.68","566.32","622.95","679.58","736.21","792.84","849.47","906.11","962.74","1019.39","1076.00","1132.63","1189.19","1245.90","1302.53","1359.16","x","x","x"
1900,"157.38","179.33","239.11","298.89","358.67","418.44","478.22","538.00","597.78","657.56","717.33","777.11","836.89","896.67","956.44","1016.22","1076.00","1135.78","1195.56","1255.33","1315.11","1374.89","x","x","x","x"
2000,"157.39","188.77","251.70","314.62","377.51","440.47","503.39","566.32","629.24","692.16","755.09","818.01","880.94","943.86","1006.78","1069.71","1132.63","1195.56","1258.48","1321.04","1384.33","x","x","x","x","x"
2100,"157.40","198.21","264.28","330.35","396.42","462.49","528.56","594.63","660.70","726.77","792.84","858.91","924.98","991.05","1057.12","1123.19","1189.19","1255.33","1321.04","1387.47","x","x","x","x","x","x"
2200,"157.41","207.64","276.87","346.08","415.98","484.51","553.73","622.95","692.16","761.38","830.60","899.81","969.03","1038.25","1107.46","1178.68","1245.90","1315.11","1384.33","x","x","x","x","x","x","x"
2300,"157.42","217.09","289.45","361.81","434.18","506.54","578.90","651.26","723.63","795.99","868.35","940.71","1013.08","1085.44","1157.80","1230.16","1302.53","1374.89","x","x","x","x","x","x","x","x"
2400,"157.43","226.53","302.04","377.54","453.05","528.56","604.07","679.58","755.12","830.60","906.11","981.61","1057.12","1132.63","1208.14","1283.65","1359.16","x","x","x","x","x","x","x","x","x"
2500,"157.44","235.97","314.60","393.28","471.93","550.59","629.24","707.89","786.55","865.28","943.86","1022.52","1101.17","1179.83","1258.48","1337.14","x","x","x","x","x","x","x","x","x","x"
2600,"163.60","254.84","327.20","408.81","490.81","572.61","654.41","736.21","818.01","899.81","981.61","1063.42","1145.22","1227.02","1308.82","1390.62","x","x","x","x","x","x","x","x","x","x"
2700,"169.89","254.84","339.79","424.74","509.68","594.63","679.58","764.53","849.47","934.42","1019.37","1104.32","1189.26","1274.21","1142.74","x","x","x","x","x","x","x","x","x","x","x"
