,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
200,"88.00","88.00","88.00","95.20","102.10","109.40","116.40","123.50","130.60","137.70","144.90","151.80","159.10","166.10","190.60","197.90","204.90","212.00","219.10","235.40","242.40"
300,"88.00","88.00","88.00","95.20","102.10","109.40","116.40","123.50","130.60","137.70","144.90","151.80","159.10","166.10","190.60","197.90","204.90","212.00","219.10","235.40","242.40"
400,"88.00","88.00","88.00","95.20","102.10","109.40","116.40","123.50","130.60","137.70","144.90","151.80","159.10","166.10","190.60","197.90","204.90","212.00","219.10","235.40","242.40"
500,"95.20","95.20","95.20","103.10","111.40","119.60","127.70","135.80","144.00","152.10","160.20","168.40","176.60","184.80","210.20","218.50","226.50","234.60","242.90","260.10","268.20"
600,"102.10","102.10","102.10","111.40","120.60","129.80","138.90","148.20","157.30","166.60","175.80","184.90","194.20","203.50","229.80","239.20","248.10","257.50","266.70","285.00","294.20"
700,"109.40","109.40","109.40","119.60","129.80","140.10","150.20","160.50","170.70","181.00","191.20","201.50","211.80","222.00","249.60","259.70","270.00","280.20","290.40","309.70","319.90"
800,"116.40","116.40","116.40","127.70","138.90","150.20","161.60","172.80","184.20","195.40","206.60","218.10","229.30","240.50","269.10","280.40","291.80","303.00","314.40","334.50","345.80"
900,"123.50","123.50","123.50","135.80","148.20","160.50","172.80","185.10","197.60","209.80","222.20","234.30","246.70","259.00","288.70","301.20","313.40","325.70","338.00","359.50","371.70"
1000,"130.60","130.60","130.60","144.00","157.30","170.70","184.20","197.60","210.90","224.20","237.50","250.90","264.30","277.70","308.40","321.80","335.20","348.60","361.80","384.30","397.60"
1100,"137.70","137.70","137.70","152.10","166.60","181.00","195.40","209.80","224.20","242.80","257.20","271.60","286.00","300.30","332.10","346.50","360.90","375.40","389.90","413.20","427.70"
1200,"144.90","144.90","144.90","160.20","175.80","191.20","206.60","222.20","237.50","257.20","272.60","288.10","303.50","318.90","351-.70","367.30","382.50","398.30","413.50","438.00","453.40"
1300,"151.80","151.80","151.80","168.40","184.90","201.50","218.10","234.30","250.90","272.60","288.10","304.60","321.10","337.50","371.40","388.00","404.40","420.90","437.40","462.90","479.50"
1400,"159.10","159.10","159.10","176.60","194.20","211.80","229.30","246.70","264.30","288.10","303.50","321.10","342.90","360.30","395.20","412.80","430.20","447.80","465.50","491.80","509.40"
1500,"166.10","166.10","166.10","184.80","203.50","222.00","240.50","259.00","277.70","303.50","318.90","337.50","360.30","378.90","414.90","433.50","452.00","470.60","489.00","516.80","535.20"
