,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
200,"68.80","68.80","68.80","71.90","74.90","77.90","80.90","83.90","86.90","89.80","92.90","95.90","98.90","101.90","122.30","125.20","128.30","131.20","134.30","146.30","149.40"
300,"68.80","68.80","68.80","71.90","74.90","77.90","80.90","83.90","86.90","89.80","92.90","95.90","98.90","101.90","122.30","125.20","128.30","131.30","134.30","146.30","149.40"
400,"68.80","68.80","68.80","71.90","74.90","77.90","80.90","83.90","86.90","89.80","92.90","95.90","98.90","101.90","122.30","125.20","128.30","131.30","134.30","146.30","149.40"
500,"71.90","71.90","71.90","75.00","78.20","81.40","84.70","87.90","91.10","94.20","97.40","100.50","103.70","106.90","127.50","130.70","133.90","137.20","140.30","152.40","155.60"
600,"74.90","74.90","74.90","78,2","81.70","85.00","88.40","91.80","95.20","98.50","101.90","105.30","108.70","112.10","132.80","136.10","139.40","142.80","146.20","158.60","161.90"
700,"77.90","77.90","77.90","81.40","85.00","88.60","92.10","95.70","99.20","102.80","106.30","109.90","113.50","117.00","137.90","141.50","145.00","148.60","152.10","164.70","168.30"
800,"80.90","80.90","80.90","84.70","88.40","92.10","95.80","99.50","103.30","107.00","110.80","114.50","118.20","122.20","143.10","146.90","150.60","154.40","158.10","170.90","174.60"
900,"83.90","83.90","83.90","87.90","91.80","95.70","99.50","103.40","107.30","111.40","115.40","119.30","123.20","127.10","148.30","152.20","156.10","160.10","164.00","177.00","180.90"
1000,"86.90","86.90","86.90","91.10","95.20","99.20","103.30","107.30","111.70","115.70","119.80","123.90","128.00","132.00","153.50","157.70","161.80","165.80","170.00","183.10","187.30"
1100,"89.80","89.80","89.80","94.20","98.50","102.80","107.00","111.40","115.70","124.10","128.40","132.80","137.00","141.20","162.90","167.20","171.60","175.80","180.10","193.40","197.80"
1200,"92.90","92.90","92.90","97.40","101.90","106.30","110.80","115.40","119.80","128.40","133.00","137.40","141.80","146.30","168.20","172.60","177.10","181.50","186.10","199.50","203.90"
1300,"95.90","95.90","95.90","100.50","105.30","109.90","114.50","119.30","123.90","132.80","137.40","142.00","146.70","151.40","173.30","178.00","182.60","187.30","191.90","205.60","210.20"
1400,"98.90","98.90","98.90","103.70","108.70","113.50","118.20","123.20","128.00","137.00","141.80","146.70","155.60","160.50","182.70","187.60","192.30","197.20","202.10","216.00","220.70"
1500,"101.90","101.90","101.90","106.90","112.10","117.00","122.20","127.10","132.00","141.20","146.30","151.40","160.50","165.60","188.00","193.00","198.00","203.00","208.10","222.10","    227.00"
