,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
200,"59.04","59.05","59.06","62.20","65.35","68.49","46.14","74.6","77.84","81.01","84.13","87.1","90.34","93.3","110.3","113.63","116.77","119.92","123.06","133.43","136.49"
300,"59.05","59.06","59.07","62.21","65.36","68.50","46.15","74.7","77.85","81.00","84.14","87.2","90.35","93.4","110.4","113.64","116.78","119.93","123.07","133.44","136.50"
400,"59.06","59.07","59.08","62.22","65.37","68.51","46.16","74.8","77.86","81.01","84.15","87.3","90.36","93.5","110.5","113.65","116.79","119.94","123.08","133.45","136.51"
500,"62.20","62.21","62.22","65.62","69.02","72.34","75.74","79.14","82.62","85.94","89.34","92.74","96.14","99.45","116.79","120.19","123.59","126.91","130.31","140.93","144.33"
600,"65.35","65.36","65.37","69.02","72.59","76.33","79.99","83.56","87.3","90.95","94.52","98.18","101.92","105.49","123.08","126.65","130.31","134.05","137.62","148.5","152.15"
700,"68.49","68.50","68.51","72.34","76.33","80.24","84.15","90.61","91.97","95.88","99.79","103.7","107.53","111.52","129.29","133.2","136.85","141.02","144.93","156.06","159.97"
800,"46.14","46.15","46.16","75.74","79.99","84.15","88.32","92.48","96.65","100.81","104.98","109.14","113.31","117.56","135.58","139.74","143.65","148.07","152.24","163.63","167.79"
900,"74.6","74.7","74.8","79.14","83.56","90.61","92.48","96.9","101.32","105.74","110.16","114.67","119.09","123.51","141.87","146.29","150.62","155.13","159.55","171.19","175.61"
1000,"77.84","77.85","77.86","82.62","87.3","91.97","96.65","101.32","106","110.67","115.35","120.11","124.78","129.46","148.07","152.75","157.51","162.18","166.86","178.76","183.43"
1100,"81.01","81.00","81.01","85.94","90.95","95.88","100.81","105.74","110.67","119","123.93","128.95","133.88","138.81","157.68","162.61","167.54","172.47","177.48","189.64","194.65"
1200,"84.13","84.14","84.15","89.34","94.52","99.79","104.98","110.16","115.35","123.93","129.2","134.39","139.66","144.84","163.97","169.15","174.34","179.61","184.79","197.2","202.47"
1300,"87.1","87.2","87.3","92.74","98.18","103.7","109.14","114.67","120.11","128.95","134.39","139.83","145.35","150.79","170.17","175.61","181.14","186.58","192.1","204.77","210.29"
1400,"90.34","90.35","90.36","96.14","101.92","107.53","113.31","119.09","124.78","133.88","139.66","145.35","154.36","160.14","179.78","185.56","191.25","196.95","202.73","215.65","221.43"
1500,"93.3","93.4","93.5","99.45","105.49","111.52","117.56","123.51","129.46","138.81","144.84","150.79","160.14","166.18","185.98","192.02","198.05","204","209.95","223.21","229.25"
