,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
200,"88.44","88.44","88.44","98.28","97.92","102.60","107.28","111.96","116.52","121.32","126.12","130.80","135.36","140.04","165.48","170.16","174.84","179.64","153.60","166.60","170.40"
300,"88.44","88.44","88.44","98.28","97.92","102.60","107.28","111.96","116.52","121.32","126.12","130.80","135.36","140.04","165.48","170.16","174.84","179.64","153.60","166.60","170.40"
400,"88.44","88.44","88.44","98.28","97.92","102.60","107.28","111.96","116.52","121.32","126.12","130.80","135.36","140.04","165.48","170.16","174.84","179.64","153.60","166.60","170.40"
500,"93.24","93.24","93.24","98.28","103.32","108.36","113.52","118.56","123.72","128.64","133.80","138.96","144.00","148.92","174.84","180.00","185.16","190.08","162.60","175.90","180.10"
600,"97.92","97.92","97.92","103.32","108.72","114.36","119.76","125.04","130.80","136.20","141.48","147.12","152.64","157.92","184.32","189.72","195.12","200.76","171.80","185.30","189.90"
700,"102.60","102.60","102.60","108.36","114.36","120.12","126.12","131.88","137.64","143.64","149.40","155.40","161.04","167.04","193.68","199.44","205.32","211.20","180.90","194.80","199.60"
800,"107.28","107.28","107.28","113.52","119.76","126.12","132.24","138.60","144.72","151.08","157.20","163.56","169.68","176.04","203.04","209.28","215.52","221.76","190.00","204.20","209.40"
900,"111.96","111.96","111.96","118.56","125.04","131.88","138.60","145.08","151.80","158.28","165.00","171.72","178.32","185.04","212.52","219.12","225.60","232.32","199.10","213.60","219.20"
1000,"116.52","116.52","116.52","123.72","130.80","137.64","144.72","151.80","158.76","165.72","172.80","179.88","186.84","193.92","221.76","228.84","235.92","242.88","208.30","223.10","229.00"
1100,"121.32","121.32","121.32","128.64","136.20","143.64","151.08","158.28","165.72","178.20","185.64","193.20","200.52","207.84","236.16","243.48","250.92","258.36","221.60","236.70","243.00"
1200,"126.12","126.12","126.12","133.80","141.48","149.40","157.20","165.00","172.80","185.64","193.56","201.24","209.16","216.96","245.64","253.44","261.12","268.92","230.60","246.20","252.70"
1300,"130.80","130.80","130.80","138.96","147.12","155.40","163.56","171.72","179.88","193.20","201.24","209.40","217.68","225.84","254.88","263.04","271.32","279.48","239.80","255.50","262.40"
1400,"135.36","135.36","135.36","144.00","152.64","161.04","169.68","178.32","186.84","200.52","209.16","217.68","231.12","239.88","269.16","277.80","286.56","295.08","253.10","269.10","276.30"
1500,"140.04","140.04","140.04","148.92","157.92","167.04","176.04","185.04","193.20","207.84","216.96","225.84","239.88","248.88","278.64","287.64","296.64","305.52","262.00","278.60","286.10"
