,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
200,"65.84","65.85","65.86","70.70","75.55","80.3","85.32","90.1","94.93","99.77","104.62","109.46","114.22","119.24","137.85","142.70","147.54","152.39","157.23","169.30","174.15"
300,"65.85","65.86","65.87","70.71","75.56","80.4","85.33","90.0","94.94","99.78","104.63","109.47","114.23","119.25","137.86","142.71","147.55","152.40","157.24","169.31","174.16"
400,"65.86","65.87","65.88","70.72","75.57","80.5","85.34","90.1","94.95","99.79","104.64","109.48","114.24","119.26","137.87","142.72","147.56","152.41","157.25","169.32","174.17"
500,"70.70","70.71","70.72","76.33","81.77","87.3","92.91","98.43","103.96","109.4","115.01","120.62","126.06","131.5","150.96","159.12","163.71","167.62","173.06","185.81","191.34"
600,"75.55","75.56","75.57","81.77","87.55","94.35","100.56","106.76","112.88","119.09","125.29","131.5","137.7","143.91","164.14","170.26","176.46","182.67","188.87","202.39","208.59"
700,"80.3","80.4","80.5","87.3","94.35","101.15","108.04","115.01","121.89","128.86","135.66","142.55","149.52","156.4","177.23","184.03","191","197.88","204.85","218.88","225.85"
800,"85.32","85.33","85.34","92.91","100.56","108.04","115.69","123.25","130.82","138.47","146.12","153.68","161.16","168.81","190.23","197.88","205.45","213.1","220.75","235.45","245.65"
900,"90.1","90.0","90.1","98.43","106.76","115.01","123.25","131.5","139.83","148.16","156.4","164.56","172.81","181.22","203.32","211.65","219.9","228.31","236.56","251.94","260.27"
1000,"94.93","94.94","94.95","103.96","112.88","121.89","130.82","139.83","148.75","157.76","166.69","175.78","184.62","193.63","216.5","225.51","234.43","243.36","252.37","268.52","277.53"
1100,"99.77","99.78","99.79","109.4","119.09","128.86","138.47","148.16","157.76","170.77","180.37","190.15","199.67","209.44","232.9","242.59","252.2","261.97","271.58","288.41","298.01"
1200,"104.62","104.63","104.64","115.01","125.29","135.66","146.12","156.4","166.69","180.37","190.74","201.03","211.48","221.85","245.99","256.36","266.65","277.02","287.47","304.98","315.27"
1300,"109.46","109.47","109.48","120.62","131.5","142.55","153.68","164.56","175.78","190.15","201.03","212.08","223.13","234.26","259.17","270.22","281.27","292.23","303.28","321.47","332.52"
1400,"109.46","109.47","109.48","126.06","137.7","149.52","161.16","172.81","184.62","199.67","211.48","223.13","238.26","249.9","275.57","287.39","299.03","310.68","322.49","341.45","353.09"
1500,"119.24","119.25","119.26","131.5","143.91","156.4","168.81","181.22","193.63","209.44","221.85","234.26","249.9","262.31","288.66","301.07","313.48","325.89","338.3","357.85","370.35"
