,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200
200,"85","85","85","92.97","100.96","109.04","116.94","124.93","132.92","147.29","155.36","163.35","171.26","179.25","201.0","209.17","217.16","225.06","233.14","248.27","256.34"
300,"85","85","85","92.98","100.97","109.05","116.95","124.94","132.93","147.30","155.37","163.36","171.27","179.26","201.1","209.18","217.17","225.07","233.15","248.28","256.35"
400,"85","85","85","92.99","100.98","109.06","116.96","124.95","132.94","147.31","155.38","163.37","171.28","179.27","201.2","209.19","217.18","225.08","233.16","248.29","256.36"
500,"92.97","92.98","92.99","102.09","111.1","120.19","129.2","137.7","147.05","162.86","171.87","180.88","189.98","198.99","221.94","231.03","240.04","249.22","258.15","274.47","283.56"
600,"100.96","100.97","100.98","111.1","121.21","131.41","141.53","151.56","161.76","178.33","188.45","198.48","208.68","218.79","242.85","252.96","263.08","273.11","283.31","300.56","310.85"
700,"109.04","109.05","109.06","120.19","131.41","142.55","153.77","164.99","176.12","193.72","204.94","216.16","227.29","238.51","263.67","274.81","286.03","297.16","308.38","326.83","338.05"
800,"116.94","116.95","116.96","129.2","141.53","153.77","166.01","178.33","190.57","209.19","221.43","233.75","245.99","258.32","284.41","296.74","308.98","321.22","333.54","353.01","365.25"
900,"124.93","124.94","124.95","137.7","151.56","164.99","178.33","191.59","204.94","224.74","238","251.35","264.78","277.95","305.15","318.58","331.93","342.64","358.62","379.1","392.45"
1000,"132.92","132.93","132.94","147.05","161.76","176.12","190.57","204.94","219.39","240.21","254.49","269.03","283.31","297.84","326.15","340.43","354.96","369.24","383.61","405.28","419.73"
1100,"147.29","147.30","147.31","162.86","178.33","193.72","209.19","224.74","240.21","259","274.47","289.94","305.32","320.88","350.2","365.76","381.14","396.61","412.08","434.78","450.25"
1200,"155.36","155.37","155.38","171.87","188.45","204.94","221.43","238","254.49","274.47","290.96","307.53","324.02","340.6","370.6","387.6","404.18","420.67","437.24","460.96","477.45"
1300,"163.35","163.36","163.37","180.88","198.48","216.16","233.75","251.35","269.03","289.94","307.53","325.13","342.81","360.4","391.85","409.53","427.04","444.64","462.23","487.05","504.65"
1400,"163.35","163.36","163.37","189.98","208.68","227.29","245.99","264.78","283.31","305.32","324.02","342.81","364.74","383.52","416.08","434.69","453.39","472.01","490.71","516.63","535.33"
1500,"171.26","171.27","171.28","189.98","208.68","227.29","258.32","277.95","297.84","320.88","340.6","360.4","383.52","403.16","436.82","456.54","476.34","496.06","515.7","542.73","562.53"
