,800,825,850,875,900,925,950
850,"372.405","379.731","388.278","395.604","402.93","410.256","417.582"
1100,"431.013","438.339","446.886","455.433","463.98","472.527","481.074"
1350,"488.4","496.947","506.715","516.483","525.03","534.798","543.345"
1600,"545.787","555.555","566.544","576.312","586.08","597.069","606.837"
1850,"604.395","615.384","626.373","636.141","647.13","658.119","669.108"
2100,"661.782","673.992","684.981","697.191","709.401","720.39","732.6"
2350,"719.169","732.6","744.81","757.5084","770.451","782.661","795.51813"
2600,"777.777","791.208","804.639","818.07","831.501","844.94421","858.363"
2850,"835.164","849.816","864.468","878.25309","892.551","907.203","921.855"
3100,"892.551","908.424","921.855","938.949","953.601","969.474","984.126"
